Country of birth(c),1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,"13,984,720","14,128,840","14,297,370","14,466,970","14,643,100","14,822,350","14,944,520","15,065,240","15,179,770","15,299,750","15,419,340","15,594,370","15,771,300","15,961,770","16,150,390","16,321,840","16,519,460","16,719,390","16,905,450","17,086,270","17,278,800","17,449,760","17,615,980","17,784,440","17,976,110","18,158,900","18,332,040","18,471,160","18,617,070"
Norfolk Island(d),190,230,220,230,230,190,180,170,180,180,190,220,230,250,260,270,300,330,330,330,770,800,760,730,690,650,640,630,620
"Aust E T, nec",10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,"312,240","320,660","328,280","345,660","365,060","389,600","402,380","409,500","413,980","423,550","437,890","458,020","483,660","504,440","517,780","543,950","569,630","585,390","583,660","575,430","568,170","572,250","577,490","582,850","584,490","584,010","586,050","598,450","617,960"
New Caledonia,"1,190","1,270","1,270","1,250","1,210","1,160","1,240","1,260","1,260","1,260","1,240","1,270","1,320","1,380","1,460","1,450","1,470","1,490","1,500","1,560","1,590","1,620","1,570","1,550","1,540","1,520","1,540","1,580","1,690"
PNG,"26,120","25,760","25,730","25,640","25,610","25,640","25,910","26,300","26,570","26,890","27,330","28,000","28,890","29,530","30,050","30,650","31,530","32,390","33,020","33,510","34,260","34,280","34,050","33,850","33,950","33,250","33,850","35,480","37,150"
Solomon Islands,"1,260","1,240","1,300","1,340","1,400","1,440","1,500","1,540","1,580","1,640","1,700","1,750","1,820","1,900","1,930","2,020","2,090","2,180","2,220","2,300","2,360","2,430","2,490","2,520","2,810","3,780","6,010","7,260","8,190"
Vanuatu,"1,020","1,040","1,050","1,070","1,060","1,040","1,100","1,140","1,160","1,180","1,210","1,220","1,230","1,230","1,300","1,300","1,350","1,410","1,400","1,380","1,400","1,430","1,430","1,650","4,090","6,370","8,650","8,790","9,020"
Guam,40,40,40,50,50,50,50,60,70,80,90,90,90,90,100,100,110,110,120,120,120,120,120,130,130,130,140,140,140
Kiribati,410,430,450,450,440,430,450,460,480,490,480,490,530,560,610,600,610,630,640,650,640,680,750,800,890,"1,070","1,250","1,720","2,210"
