Year,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
2001,322.5,225,178.7,150,168.4,120.6,188,206.3
2002,387.5,258,205,180,189.3,137.2,202.3,234.2
2003,520,320,296.4,247.5,250,182.3,226,375
2004,515,321,310,270,280,237.3,259,372
2005,500,332,320,280,340,252.5,320,387
2006,500,360,343.5,300,470,278,380,420.8
2007,540,410,415,358,480,310,418.5,468
2008,468,385,399,355,425,300,445,450
2009,595,477.5,455,398.8,505,350,520,509
2010,620,520,460,410,500,345,545,534.5
2011,533,495,430,385,480,337.5,515,500
2012,640,508,440,395,510,331.3,561,519
2013,745,561,465,412,552,350,579,503.3
2014,816,552.5,467,425,531,356.5,581,570
2015,915,612.3,490,436,525,370,575,615
2016,985.5,675,515,447,525,392,522,636
2017,1029,750,535,470,515,421,513.8,690
2018,940,735,540,480,489,465,510,720
2019,985,760,550,485,495,517,470,745
2020,999,760,575,512.5,528,567.7,522.5,785
2021,1360,940,750,630,558.8,754,600,1040
2022,1300,875,750,675,580,731.5,590,1000
2023,1420,868,830,750.3,675,710.5,589,1000
2024,1460,852.5,935,850,820,710,560,1000
