Date,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra,Australia
Sep-81,8.60,9.30,9.90,10.00,9.30,8.70,8.70,9.30,9.00
Dec-81,11.10,11.70,11.60,11.60,12.50,10.70,12.20,11.30,11.00
Mar-82,10.00,10.70,11.70,10.20,11.10,10.10,11.60,10.70,10.80
Jun-82,11.30,10.80,10.30,10.30,10.90,9.90,11.80,11.10,10.90
Sep-82,13.10,11.90,11.10,11.80,11.60,10.70,12.80,12.30,12.40
Dec-82,12.00,10.10,10.70,10.70,9.80,10.30,10.00,12.10,11.30
Mar-83,12.10,11.00,10.80,12.30,10.30,11.10,10.40,12.60,11.40
Jun-83,11.10,11.70,10.60,12.30,10.10,10.90,10.50,11.30,11.10
Sep-83,8.60,9.50,9.70,10.00,9.10,9.10,8.50,9.40,9.20
Dec-83,7.40,9.80,8.20,9.10,8.30,7.90,6.60,7.90,8.60
Mar-84,4.90,7.00,5.90,6.20,5.80,5.70,5.10,5.70,5.80
Jun-84,2.80,4.20,5.50,3.70,4.00,3.90,3.20,4.20,4.00
Sep-84,2.80,4.50,4.60,3.10,2.80,3.60,3.10,4.20,3.70
Dec-84,2.50,2.40,3.60,3.30,1.90,3.50,2.80,3.30,2.50
Mar-85,4.20,4.30,4.70,4.70,4.40,4.90,3.30,4.90,4.40
Jun-85,6.40,7.00,5.80,7.20,6.90,7.30,5.60,7.00,6.60
Sep-85,7.70,7.50,7.10,8.50,7.10,8.80,7.80,8.00,7.60
Dec-85,8.40,8.20,7.80,8.60,8.30,8.60,8.00,8.70,8.30
Mar-86,9.30,9.60,9.00,8.80,8.50,8.80,8.90,9.30,9.20
Jun-86,8.90,8.40,8.10,8.00,7.80,8.60,7.80,8.60,8.50
Sep-86,8.90,8.90,8.10,8.90,9.40,8.60,7.00,8.40,8.80
Dec-86,9.70,10.20,9.00,9.20,10.20,10.10,9.50,8.70,9.60
Mar-87,9.50,9.30,8.50,9.50,10.20,10.40,9.30,8.30,9.40
Jun-87,9.30,9.30,8.90,9.10,10.30,10.00,9.90,8.10,9.30
Sep-87,8.60,8.40,7.50,7.20,8.40,9.00,8.80,7.30,8.30
Dec-87,7.00,7.10,6.90,6.80,7.00,7.20,6.80,6.70,7.20
Mar-88,7.30,6.70,6.50,6.20,6.60,6.90,6.50,6.80,6.80
Jun-88,7.20,7.10,7.10,6.40,6.70,6.50,6.40,7.10,7.20
Sep-88,8.20,6.70,7.20,7.40,7.30,6.00,5.20,7.00,7.30
Dec-88,9.30,6.80,7.10,6.80,7.60,5.90,4.80,6.90,7.60
Mar-89,7.00,6.70,6.80,7.50,7.10,6.20,4.70,6.10,6.80
Jun-89,8.00,7.40,7.20,7.80,7.50,6.70,4.80,6.60,7.50
Sep-89,8.20,8.30,7.80,7.50,7.80,7.20,5.70,6.90,8.00
Dec-89,7.40,8.30,7.60,7.40,7.80,7.50,6.40,7.40,7.80
Mar-90,8.90,8.60,7.70,6.80,9.30,7.20,6.40,8.30,8.70
Jun-90,8.10,7.80,6.80,6.70,8.50,6.10,6.40,7.00,7.70
Sep-90,5.90,6.40,5.30,6.20,7.00,5.50,6.00,6.10,6.10
Dec-90,6.30,7.50,6.10,7.80,7.40,6.10,7.10,6.70,6.90
Mar-91,4.80,5.30,5.00,6.00,3.90,4.20,5.40,4.30,4.80
Jun-91,3.00,4.00,3.40,4.70,2.30,3.80,4.10,3.20,3.30
Sep-91,2.80,3.90,3.20,4.10,1.90,3.60,3.20,3.80,3.10
Dec-91,1.50,1.70,1.80,1.90,-0.20,1.90,1.70,1.90,1.50
Mar-92,1.40,2.20,1.60,2.60,0.90,2.00,2.00,2.60,1.70
Jun-92,1.00,1.30,1.20,2.10,0.30,1.20,1.70,2.20,1.20
Sep-92,0.80,0.30,0.70,2.00,-0.20,0.80,2.00,1.50,0.80
Dec-92,0.30,-0.20,0.90,1.70,0.00,0.50,0.80,1.00,0.30
Mar-93,1.00,1.10,1.50,2.00,0.30,1.50,1.50,1.70,1.20
Jun-93,1.70,1.80,2.40,2.70,1.20,2.20,1.50,2.20,1.80
Sep-93,1.70,2.30,2.80,2.30,2.20,3.10,1.50,2.20,2.20
Dec-93,1.30,2.50,1.90,1.80,2.40,3.30,2.40,2.10,1.80
Mar-94,0.80,1.50,1.50,1.80,2.00,2.60,1.40,1.10,1.50
Jun-94,1.50,1.80,1.70,1.80,2.20,2.80,2.10,1.60,1.80
Sep-94,2.10,1.60,2.50,2.00,2.00,2.10,2.20,1.50,2.00
Dec-94,2.60,2.10,3.20,2.90,2.10,2.40,1.70,2.30,2.60
Mar-95,4.30,3.50,4.50,3.70,4.10,3.80,3.50,4.40,3.70
Jun-95,4.90,3.60,4.80,3.90,5.30,4.10,3.90,5.00,4.50
Sep-95,5.60,4.70,4.80,4.50,5.10,4.60,4.40,5.80,5.10
Dec-95,5.90,4.70,4.40,4.40,4.90,4.40,4.80,5.40,5.10
Mar-96,4.70,2.80,3.40,3.10,3.50,3.40,3.80,3.90,3.80
Jun-96,4.00,2.60,3.00,2.80,2.70,3.00,3.50,3.20,3.10
Sep-96,2.40,1.80,2.20,1.80,2.30,2.30,3.10,2.00,2.10
Dec-96,1.70,1.20,1.70,1.20,1.90,1.80,2.10,1.20,1.50
Mar-97,1.20,1.50,1.50,0.90,1.10,1.50,1.60,0.60,1.40
Jun-97,0.10,0.60,0.60,-0.20,0.20,0.60,0.60,-0.90,0.30
Sep-97,-0.30,-0.10,0.20,-0.90,-0.60,-0.40,-0.60,-1.30,-0.40
