Date,MinWagePerWeek,MinWagePerHr
1996,341.40,8.98
1997,359.40,9.46
1998,373.40,9.83
1999,385.40,10.14
2000,400.40,10.54
2001,413.40,10.88
2002,431.40,11.35
2003,448.40,11.80
2004,467.40,12.30
2005,484.40,12.75
2006,511.86,13.47
2007,522.12,13.74
2008,543.78,14.31
2009,543.78,14.31
2010,569.90,15.00
2011,589.30,15.51
2012,606.40,15.96
2013,622.20,16.37
2014,640.90,16.87
2015,656.90,17.29
2016,672.70,17.70
2017,694.90,18.29
2018,719.20,18.93
2019,740.80,19.49
2020,753.80,19.84
2021,772.60,20.33
2022,812.60,21.38
2023,882.80,23.23
2024,915.90,24.10
