state,region,year,population,total population,proportion
ACT,Oceania and Antarctica,2001,6230,73680,0.084555
ACT,North-West Europe,2001,26670,73680,0.361971
ACT,Southern and Eastern Europe,2001,13260,73680,0.179967
ACT,North Africa and the Middle East,2001,1760,73680,0.023887
ACT,South-East Asia,2001,9090,73680,0.123371
ACT,North-East Asia,2001,4760,73680,0.064604
ACT,Southern and Central Asia,2001,4660,73680,0.063246
ACT,Americas,2001,5040,73680,0.068404
ACT,Sub-Saharan Africa,2001,2210,73680,0.029995
ACT,Oceania and Antarctica,2006,6370,79060,0.080572
ACT,North-West Europe,2006,24540,79060,0.310397
ACT,Southern and Eastern Europe,2006,12450,79060,0.157475
ACT,North Africa and the Middle East,2006,2260,79060,0.028586
ACT,South-East Asia,2006,10600,79060,0.134075
ACT,North-East Asia,2006,7710,79060,0.097521
ACT,Southern and Central Asia,2006,6830,79060,0.086390
ACT,Americas,2006,5560,79060,0.070326
ACT,Sub-Saharan Africa,2006,2740,79060,0.034657
ACT,Oceania and Antarctica,2011,7130,96000,0.074271
ACT,North-West Europe,2011,24530,96000,0.255521
ACT,Southern and Eastern Europe,2011,11660,96000,0.121458
ACT,North Africa and the Middle East,2011,3710,96000,0.038646
ACT,South-East Asia,2011,13520,96000,0.140833
ACT,North-East Asia,2011,12670,96000,0.131979
ACT,Southern and Central Asia,2011,12360,96000,0.128750
ACT,Americas,2011,6330,96000,0.065937
ACT,Sub-Saharan Africa,2011,4090,96000,0.042604
ACT,Oceania and Antarctica,2016,7720,113550,0.067988
ACT,North-West Europe,2016,23350,113550,0.205636
ACT,Southern and Eastern Europe,2016,11290,113550,0.099428
ACT,North Africa and the Middle East,2016,4710,113550,0.041480
ACT,South-East Asia,2016,15810,113550,0.139234
ACT,North-East Asia,2016,17820,113550,0.156935
ACT,Southern and Central Asia,2016,19690,113550,0.173404
ACT,Americas,2016,7580,113550,0.066755
ACT,Sub-Saharan Africa,2016,5580,113550,0.049141
ACT,Oceania and Antarctica,2021,8320,134980,0.061639
ACT,North-West Europe,2021,22910,134980,0.169729
ACT,Southern and Eastern Europe,2021,10550,134980,0.078160
ACT,North Africa and the Middle East,2021,5850,134980,0.043340
ACT,South-East Asia,2021,18530,134980,0.137280
ACT,North-East Asia,2021,19080,134980,0.141354
ACT,Southern and Central Asia,2021,34530,134980,0.255816
ACT,Americas,2021,8970,134980,0.066454
ACT,Sub-Saharan Africa,2021,6240,134980,0.046229
NSW,Oceania and Antarctica,2001,171350,1616980,0.105969
NSW,North-West Europe,2001,409380,1616980,0.253176
NSW,Southern and Eastern Europe,2001,286820,1616980,0.177380
NSW,North Africa and the Middle East,2001,143690,1616980,0.088863
NSW,South-East Asia,2001,214370,1616980,0.132574
NSW,North-East Asia,2001,182890,1616980,0.113106
NSW,Southern and Central Asia,2001,80770,1616980,0.049951
NSW,Americas,2001,78020,1616980,0.048250
NSW,Sub-Saharan Africa,2001,49690,1616980,0.030730
NSW,Oceania and Antarctica,2006,177940,1787440,0.099550
NSW,North-West Europe,2006,401580,1787440,0.224668
NSW,Southern and Eastern Europe,2006,282770,1787440,0.158198
NSW,North Africa and the Middle East,2006,167050,1787440,0.093458
NSW,South-East Asia,2006,241140,1787440,0.134908
NSW,North-East Asia,2006,240810,1787440,0.134723
NSW,Southern and Central Asia,2006,125700,1787440,0.070324
NSW,Americas,2006,88500,1787440,0.049512
NSW,Sub-Saharan Africa,2006,61950,1787440,0.034659
NSW,Oceania and Antarctica,2011,192910,2043200,0.094416
NSW,North-West Europe,2011,419280,2043200,0.205208
NSW,Southern and Eastern Europe,2011,270610,2043200,0.132444
NSW,North Africa and the Middle East,2011,188490,2043200,0.092252
NSW,South-East Asia,2011,283190,2043200,0.138601
NSW,North-East Asia,2011,307900,2043200,0.150695
NSW,Southern and Central Asia,2011,201420,2043200,0.098581
NSW,Americas,2011,103390,2043200,0.050602
NSW,Sub-Saharan Africa,2011,76010,2043200,0.037201
NSW,Oceania and Antarctica,2016,198630,2326550,0.085375
NSW,North-West Europe,2016,419440,2326550,0.180284
NSW,Southern and Eastern Europe,2016,261120,2326550,0.112235
NSW,North Africa and the Middle East,2016,218880,2326550,0.094079
NSW,South-East Asia,2016,327170,2326550,0.140625
NSW,North-East Asia,2016,396200,2326550,0.170295
NSW,Southern and Central Asia,2016,294040,2326550,0.126385
NSW,Americas,2016,125970,2326550,0.054145
NSW,Sub-Saharan Africa,2016,85100,2326550,0.036578
NSW,Oceania and Antarctica,2021,204370,2510460,0.081407
NSW,North-West Europe,2021,397220,2510460,0.158226
NSW,Southern and Eastern Europe,2021,235840,2510460,0.093943
NSW,North Africa and the Middle East,2021,251310,2510460,0.100105
NSW,South-East Asia,2021,375370,2510460,0.149522
NSW,North-East Asia,2021,402360,2510460,0.160273
NSW,Southern and Central Asia,2021,408600,2510460,0.162759
NSW,Americas,2021,142890,2510460,0.056918
NSW,Sub-Saharan Africa,2021,92500,2510460,0.036846
NT,Oceania and Antarctica,2001,5270,32630,0.161508
NT,North-West Europe,2001,11480,32630,0.351823
NT,Southern and Eastern Europe,2001,3410,32630,0.104505
NT,North Africa and the Middle East,2001,400,32630,0.012259
NT,South-East Asia,2001,6850,32630,0.209930
NT,North-East Asia,2001,1020,32630,0.031260
NT,Southern and Central Asia,2001,1090,32630,0.033405
NT,Americas,2001,2150,32630,0.065890
NT,Sub-Saharan Africa,2001,960,32630,0.029421
NT,Oceania and Antarctica,2006,5220,32740,0.159438
NT,North-West Europe,2006,10420,32740,0.318265
NT,Southern and Eastern Europe,2006,3170,32740,0.096823
NT,North Africa and the Middle East,2006,480,32740,0.014661
NT,South-East Asia,2006,7330,32740,0.223885
NT,North-East Asia,2006,1050,32740,0.032071
NT,Southern and Central Asia,2006,1330,32740,0.040623
NT,Americas,2006,2160,32740,0.065974
NT,Sub-Saharan Africa,2006,1580,32740,0.048259
NT,Oceania and Antarctica,2011,6260,43600,0.143578
NT,North-West Europe,2011,11330,43600,0.259862
NT,Southern and Eastern Europe,2011,3340,43600,0.076606
NT,North Africa and the Middle East,2011,1240,43600,0.028440
NT,South-East Asia,2011,10260,43600,0.235321
NT,North-East Asia,2011,2320,43600,0.053211
NT,Southern and Central Asia,2011,4090,43600,0.093807
NT,Americas,2011,2240,43600,0.051376
NT,Sub-Saharan Africa,2011,2520,43600,0.057798
NT,Oceania and Antarctica,2016,7240,55400,0.130686
NT,North-West Europe,2016,12330,55400,0.222563
NT,Southern and Eastern Europe,2016,3920,55400,0.070758
NT,North Africa and the Middle East,2016,1080,55400,0.019495
NT,South-East Asia,2016,13480,55400,0.243321
NT,North-East Asia,2016,3700,55400,0.066787
NT,Southern and Central Asia,2016,7640,55400,0.137906
NT,Americas,2016,2710,55400,0.048917
NT,Sub-Saharan Africa,2016,3300,55400,0.059567
NT,Oceania and Antarctica,2021,6900,59290,0.116377
NT,North-West Europe,2021,10130,59290,0.170855
NT,Southern and Eastern Europe,2021,3370,59290,0.056839
NT,North Africa and the Middle East,2021,1220,59290,0.020577
NT,South-East Asia,2021,14880,59290,0.250970
NT,North-East Asia,2021,3650,59290,0.061562
NT,Southern and Central Asia,2021,12570,59290,0.212009
NT,Americas,2021,2830,59290,0.047731
NT,Sub-Saharan Africa,2021,3740,59290,0.063080
QLD,Oceania and Antarctica,2001,167200,643800,0.259708
QLD,North-West Europe,2001,252840,643800,0.392731
QLD,Southern and Eastern Europe,2001,59620,643800,0.092606
QLD,North Africa and the Middle East,2001,8640,643800,0.013420
QLD,South-East Asia,2001,53240,643800,0.082696
QLD,North-East Asia,2001,36530,643800,0.056741
QLD,Southern and Central Asia,2001,13870,643800,0.021544
QLD,Americas,2001,27200,643800,0.042249
QLD,Sub-Saharan Africa,2001,24660,643800,0.038304
QLD,Oceania and Antarctica,2006,202790,789990,0.256699
QLD,North-West Europe,2006,282180,789990,0.357194
QLD,Southern and Eastern Europe,2006,65230,789990,0.082571
QLD,North Africa and the Middle East,2006,14600,789990,0.018481
QLD,South-East Asia,2006,68640,789990,0.086887
QLD,North-East Asia,2006,55780,789990,0.070608
QLD,Southern and Central Asia,2006,22250,789990,0.028165
QLD,Americas,2006,36450,789990,0.046140
QLD,Sub-Saharan Africa,2006,42070,789990,0.053254
QLD,Oceania and Antarctica,2011,260620,1005400,0.259220
QLD,North-West Europe,2011,310820,1005400,0.309151
QLD,Southern and Eastern Europe,2011,66290,1005400,0.065934
QLD,North Africa and the Middle East,2011,22600,1005400,0.022479
QLD,South-East Asia,2011,95190,1005400,0.094679
QLD,North-East Asia,2011,83380,1005400,0.082932
QLD,Southern and Central Asia,2011,53890,1005400,0.053601
QLD,Americas,2011,49000,1005400,0.048737
QLD,Sub-Saharan Africa,2011,63610,1005400,0.063268
QLD,Oceania and Antarctica,2016,272810,1140130,0.239280
QLD,North-West Europe,2016,314240,1140130,0.275618
QLD,Southern and Eastern Europe,2016,67910,1140130,0.059563
QLD,North Africa and the Middle East,2016,29050,1140130,0.025480
QLD,South-East Asia,2016,115170,1140130,0.101015
QLD,North-East Asia,2016,117860,1140130,0.103374
QLD,Southern and Central Asia,2016,83620,1140130,0.073343
QLD,Americas,2016,62390,1140130,0.054722
QLD,Sub-Saharan Africa,2016,77080,1140130,0.067606
QLD,Oceania and Antarctica,2021,288540,1263910,0.228292
QLD,North-West Europe,2021,313150,1263910,0.247763
QLD,Southern and Eastern Europe,2021,68800,1263910,0.054434
QLD,North Africa and the Middle East,2021,36260,1263910,0.028689
QLD,South-East Asia,2021,140420,1263910,0.111100
QLD,North-East Asia,2021,127220,1263910,0.100656
QLD,Southern and Central Asia,2021,119620,1263910,0.094643
QLD,Americas,2021,78940,1263910,0.062457
QLD,Sub-Saharan Africa,2021,90960,1263910,0.071967
