year,state,total_proportion,house_price,inflation_rate,min_wage
2001,ACT,0.229112,206.3,2.9,10.88
2002,ACT,0.229112,234.2,3.2,11.35
2003,ACT,0.229112,375.0,2.6,11.8
2004,ACT,0.229112,372.0,2.4,12.3
2005,ACT,0.229112,387.0,3.1,12.75
2006,ACT,0.235881,420.8,3.2,13.47
2007,ACT,0.235881,468.0,3.2,13.74
2008,ACT,0.235881,450.0,3.8,14.31
2009,ACT,0.235881,509.0,2.3,14.31
2010,ACT,0.235881,534.5,2.1,15.0
2011,ACT,0.260877,500.0,3.5,15.51
2012,ACT,0.260877,519.0,1.7,15.96
2013,ACT,0.260877,503.3,2.3,16.37
2014,ACT,0.260877,570.0,1.2,16.87
2015,ACT,0.260877,615.0,0.7,17.29
2016,ACT,0.281663,636.0,1.8,17.7
2017,ACT,0.281663,690.0,2.2,18.29
2018,ACT,0.281663,720.0,2.5,18.93
2019,ACT,0.281663,745.0,1.7,19.49
2020,ACT,0.281663,785.0,1.1,19.84
2021,ACT,0.298246,1040.0,4.0,20.33
2022,ACT,0.298246,1000.0,7.1,21.38
2023,ACT,0.298246,1000.0,3.7,23.23
2024,ACT,0.298246,1000.0,2.2,24.1
2001,NSW,0.247609,322.5,3.4,10.88
2002,NSW,0.247609,387.5,2.8,11.35
2003,NSW,0.247609,520.0,2.3,11.8
2004,NSW,0.247609,515.0,2.6,12.3
2005,NSW,0.247609,500.0,2.4,12.75
2006,NSW,0.265091,500.0,3.2,13.47
2007,NSW,0.265091,540.0,2.4,13.74
2008,NSW,0.265091,468.0,3.7,14.31
2009,NSW,0.265091,595.0,2.2,14.31
2010,NSW,0.265091,620.0,2.4,15.0
2011,NSW,0.283048,533.0,3.2,15.51
2012,NSW,0.283048,640.0,2.5,15.96
2013,NSW,0.283048,745.0,2.6,16.37
2014,NSW,0.283048,816.0,1.7,16.87
2015,NSW,0.283048,915.0,2.0,17.29
2016,NSW,0.30086,985.5,1.8,17.7
2017,NSW,0.30086,1029.0,2.2,18.29
2018,NSW,0.30086,940.0,1.7,18.93
2019,NSW,0.30086,985.0,1.6,19.49
2020,NSW,0.30086,999.0,0.8,19.84
2021,NSW,0.310042,1360.0,3.1,20.33
2022,NSW,0.310042,1300.0,7.6,21.38
2023,NSW,0.310042,1420.0,4.2,23.23
2024,NSW,0.310042,1460.0,2.4,24.1
2001,NT,0.161678,188.0,2.2,10.88
2002,NT,0.161678,202.3,2.0,11.35
2003,NT,0.161678,226.0,1.7,11.8
2004,NT,0.161678,259.0,1.9,12.3
2005,NT,0.161678,320.0,3.0,12.75
2006,NT,0.156613,380.0,5.0,13.47
2007,NT,0.156613,418.5,2.9,13.74
2008,NT,0.156613,445.0,3.7,14.31
2009,NT,0.156613,520.0,3.0,14.31
2010,NT,0.156613,545.0,2.3,15.0
2011,NT,0.188515,515.0,2.5,15.51
2012,NT,0.188515,561.0,2.5,15.96
2013,NT,0.188515,579.0,4.4,16.37
2014,NT,0.188515,581.0,1.9,16.87
2015,NT,0.188515,575.0,0.5,17.29
2016,NT,0.225515,522.0,-0.4,17.7
2017,NT,0.225515,513.8,1.0,18.29
2018,NT,0.225515,510.0,1.2,18.93
2019,NT,0.225515,470.0,0.5,19.49
2020,NT,0.225515,522.5,0.0,19.84
2021,NT,0.23888,600.0,6.0,20.33
2022,NT,0.23888,590.0,7.1,21.38
2023,NT,0.23888,589.0,3.9,23.23
2024,NT,0.23888,560.0,1.7,24.1
2001,QLD,0.180261,178.7,3.2,10.88
2002,QLD,0.180261,205.0,3.0,11.35
2003,QLD,0.180261,296.4,3.0,11.8
2004,QLD,0.180261,310.0,2.6,12.3
2005,QLD,0.180261,320.0,2.9,12.75
2006,QLD,0.19709800000000002,343.5,3.4,13.47
2007,QLD,0.19709800000000002,415.0,3.9,13.74
2008,QLD,0.19709800000000002,399.0,4.3,14.31
2009,QLD,0.19709800000000002,455.0,2.5,14.31
2010,QLD,0.19709800000000002,460.0,3.1,15.0
2011,QLD,0.224577,430.0,2.4,15.51
2012,QLD,0.224577,440.0,2.2,15.96
2013,QLD,0.224577,465.0,2.6,16.37
2014,QLD,0.224577,467.0,2.0,16.87
2015,QLD,0.224577,490.0,1.7,17.29
2016,QLD,0.23531,515.0,1.6,17.7
2017,QLD,0.23531,535.0,1.9,18.29
2018,QLD,0.23531,540.0,1.5,18.93
2019,QLD,0.23531,550.0,2.0,19.49
2020,QLD,0.23531,575.0,1.0,19.84
2021,QLD,0.242316,750.0,4.3,20.33
2022,QLD,0.242316,750.0,7.7,21.38
2023,QLD,0.242316,830.0,4.2,23.23
2024,QLD,0.242316,935.0,1.8,24.1
2001,SA,0.211992,150.0,3.0,10.88
2002,SA,0.211992,180.0,3.6,11.35
2003,SA,0.211992,247.5,3.2,11.8
2004,SA,0.211992,270.0,2.6,12.3
2005,SA,0.211992,280.0,2.7,12.75
2006,SA,0.21895599999999998,300.0,3.1,13.47
2007,SA,0.21895599999999998,358.0,2.8,13.74
2008,SA,0.21895599999999998,355.0,3.7,14.31
2009,SA,0.21895599999999998,398.8,2.1,14.31
2010,SA,0.21895599999999998,410.0,2.6,15.0
2011,SA,0.23721599999999998,385.0,3.6,15.51
2012,SA,0.23721599999999998,395.0,2.1,15.96
2013,SA,0.23721599999999998,412.0,2.3,16.37
2014,SA,0.23721599999999998,425.0,1.7,16.87
2015,SA,0.23721599999999998,436.0,1.0,17.29
2016,SA,0.244572,447.0,1.3,17.7
2017,SA,0.244572,470.0,2.3,18.29
2018,SA,0.244572,480.0,1.6,18.93
2019,SA,0.244572,485.0,2.1,19.49
2020,SA,0.244572,512.5,1.0,19.84
2021,SA,0.250993,630.0,3.3,20.33
2022,SA,0.250993,675.0,8.6,21.38
2023,SA,0.250993,750.3,4.8,23.23
2024,SA,0.250993,850.0,2.5,24.1
2001,TA,0.10807299999999999,120.6,2.0,10.88
2002,TA,0.10807299999999999,137.2,3.1,11.35
2003,TA,0.10807299999999999,182.3,2.8,11.8
2004,TA,0.10807299999999999,237.3,3.4,12.3
2005,TA,0.10807299999999999,252.5,2.9,12.75
2006,TA,0.114943,278.0,2.4,13.47
2007,TA,0.114943,310.0,3.0,13.74
2008,TA,0.114943,300.0,3.2,14.31
2009,TA,0.114943,350.0,2.6,14.31
2010,TA,0.114943,345.0,2.3,15.0
2011,TA,0.12551500000000002,337.5,3.2,15.51
2012,TA,0.12551500000000002,331.3,1.0,15.96
2013,TA,0.12551500000000002,350.0,2.6,16.37
2014,TA,0.12551500000000002,356.5,1.1,16.87
2015,TA,0.12551500000000002,370.0,1.8,17.29
2016,TA,0.131124,392.0,1.3,17.7
2017,TA,0.131124,421.0,2.1,18.29
2018,TA,0.131124,465.0,3.0,18.93
2019,TA,0.131124,517.0,2.7,19.49
2020,TA,0.131124,567.7,0.8,19.84
2021,TA,0.162753,754.0,4.5,20.33
2022,TA,0.162753,731.5,7.7,21.38
2023,TA,0.162753,710.5,3.3,23.23
2024,TA,0.162753,710.0,1.5,24.1
2001,VIC,0.245395,225.0,3.0,10.88
2002,VIC,0.245395,258.0,3.2,11.35
2003,VIC,0.245395,320.0,2.3,11.8
2004,VIC,0.245395,321.0,2.2,12.3
2005,VIC,0.245395,332.0,2.7,12.75
2006,VIC,0.263142,360.0,2.8,13.47
2007,VIC,0.263142,410.0,3.2,13.74
2008,VIC,0.263142,385.0,3.1,14.31
2009,VIC,0.263142,477.5,1.8,14.31
2010,VIC,0.263142,520.0,3.1,15.0
2011,VIC,0.287094,495.0,3.1,15.51
2012,VIC,0.287094,508.0,2.1,15.96
2013,VIC,0.287094,561.0,2.7,16.37
2014,VIC,0.287094,552.5,1.4,16.87
2015,VIC,0.287094,612.3,1.9,17.29
2016,VIC,0.30658,675.0,1.5,17.7
2017,VIC,0.30658,750.0,2.2,18.29
2018,VIC,0.30658,735.0,2.0,18.93
2019,VIC,0.30658,760.0,2.0,19.49
2020,VIC,0.30658,760.0,1.3,19.84
2021,VIC,0.31653000000000003,940.0,2.5,20.33
2022,VIC,0.31653000000000003,875.0,8.0,21.38
2023,VIC,0.31653000000000003,868.0,3.8,23.23
2024,VIC,0.31653000000000003,852.5,2.5,24.1
2001,WA,0.28590899999999997,168.4,2.9,10.88
2002,WA,0.28590899999999997,189.3,2.8,11.35
2003,WA,0.28590899999999997,250.0,2.0,11.8
2004,WA,0.28590899999999997,280.0,3.0,12.3
2005,WA,0.28590899999999997,340.0,4.0,12.75
2006,WA,0.299403,470.0,4.3,13.47
2007,WA,0.299403,480.0,3.1,13.74
2008,WA,0.299403,425.0,3.7,14.31
2009,WA,0.299403,505.0,2.1,14.31
2010,WA,0.299403,500.0,2.6,15.0
2011,WA,0.334219,480.0,2.9,15.51
2012,WA,0.334219,510.0,2.1,15.96
2013,WA,0.334219,552.0,2.9,16.37
2014,WA,0.334219,531.0,2.0,16.87
2015,WA,0.334219,525.0,1.5,17.29
2016,WA,0.350319,525.0,0.4,17.7
2017,WA,0.350319,515.0,0.8,18.29
2018,WA,0.350319,489.0,1.3,18.93
2019,WA,0.350319,495.0,1.6,19.49
2020,WA,0.350319,528.0,-0.1,19.84
2021,WA,0.34151699999999996,558.8,5.7,20.33
2022,WA,0.34151699999999996,580.0,8.3,21.38
2023,WA,0.34151699999999996,675.0,3.6,23.23
2024,WA,0.34151699999999996,820.0,2.9,24.1
