state,period,start_year,end_year,total_proportion_ratio,house_price_ratio,inflation_rate_ratio,min_wage_ratio
ACT,2001-2006,2001,2006,1.03,2.04,1.103,1.238
ACT,2006-2011,2006,2011,1.106,1.188,1.094,1.151
ACT,2011-2016,2011,2016,1.08,1.272,0.514,1.141
ACT,2016-2021,2016,2021,1.059,1.635,2.222,1.149
NSW,2001-2006,2001,2006,1.071,1.55,0.941,1.238
NSW,2006-2011,2006,2011,1.068,1.066,1.0,1.151
NSW,2011-2016,2011,2016,1.063,1.849,0.562,1.141
NSW,2016-2021,2016,2021,1.031,1.38,1.722,1.149
NT,2001-2006,2001,2006,0.969,2.021,2.273,1.238
NT,2006-2011,2006,2011,1.204,1.355,0.5,1.151
NT,2011-2016,2011,2016,1.196,1.014,-0.16,1.141
NT,2016-2021,2016,2021,1.059,1.149,-15.0,1.149
QLD,2001-2006,2001,2006,1.093,1.922,1.062,1.238
QLD,2006-2011,2006,2011,1.139,1.252,0.706,1.151
QLD,2011-2016,2011,2016,1.048,1.198,0.667,1.141
QLD,2016-2021,2016,2021,1.03,1.456,2.687,1.149
SA,2001-2006,2001,2006,1.033,2.0,1.033,1.238
SA,2006-2011,2006,2011,1.083,1.283,1.161,1.151
SA,2011-2016,2011,2016,1.031,1.161,0.361,1.141
SA,2016-2021,2016,2021,1.026,1.409,2.538,1.149
TA,2001-2006,2001,2006,1.064,2.305,1.2,1.238
TA,2006-2011,2006,2011,1.092,1.214,1.333,1.151
TA,2011-2016,2011,2016,1.045,1.161,0.406,1.141
TA,2016-2021,2016,2021,1.241,1.923,3.462,1.149
VIC,2001-2006,2001,2006,1.072,1.6,0.933,1.238
VIC,2006-2011,2006,2011,1.091,1.375,1.107,1.151
VIC,2011-2016,2011,2016,1.068,1.364,0.484,1.141
VIC,2016-2021,2016,2021,1.032,1.393,1.667,1.149
WA,2001-2006,2001,2006,1.047,2.791,1.483,1.238
WA,2006-2011,2006,2011,1.116,1.021,0.674,1.151
WA,2011-2016,2011,2016,1.048,1.094,0.138,1.141
WA,2016-2021,2016,2021,0.975,1.064,14.25,1.149
